Date,"1 Mo","2 Mo","3 Mo","4 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
01/17/2024,5.54,5.47,5.47,5.40,5.20,4.80,4.34,4.12,4.02,4.07,4.10,4.42,4.31
01/16/2024,5.54,5.47,5.45,5.37,5.18,4.70,4.22,4.02,3.95,4.01,4.07,4.43,4.30
01/12/2024,5.55,5.47,5.45,5.37,5.16,4.65,4.14,3.92,3.84,3.91,3.96,4.32,4.20
01/11/2024,5.54,5.47,5.46,5.38,5.22,4.75,4.26,4.02,3.90,3.95,3.98,4.32,4.18
01/10/2024,5.53,5.46,5.46,5.39,5.23,4.82,4.37,4.10,3.99,4.01,4.04,4.35,4.20
01/09/2024,5.53,5.46,5.47,5.38,5.24,4.82,4.36,4.09,3.97,4.00,4.02,4.33,4.18
01/08/2024,5.54,5.48,5.49,5.39,5.24,4.82,4.36,4.11,3.97,3.99,4.01,4.33,4.17
01/05/2024,5.54,5.48,5.47,5.41,5.24,4.84,4.40,4.17,4.02,4.04,4.05,4.37,4.21
01/04/2024,5.56,5.48,5.48,5.41,5.25,4.85,4.38,4.14,3.97,3.99,3.99,4.30,4.13
01/03/2024,5.54,5.54,5.48,5.41,5.25,4.81,4.33,4.07,3.90,3.92,3.91,4.21,4.05
01/02/2024,5.55,5.54,5.46,5.41,5.24,4.80,4.33,4.09,3.93,3.95,3.95,4.25,4.08
